symptoms,label,disease
fish looks stressed oxygen level may be low,3,Fungal diseases Saprolegniasis
problem is bloody red spots bloody red spots what disease is this,0,Bacterial Red disease
"in my aquarium fish looks bloated, weak swollen belly fish looks tired water is slightly dirty please help",1,Bacterial diseases - Aeromoniasis
blooddy red spots fins clamped,0,Bacterial Red disease
i noticed grey white fungis staying at bottom fins are clamped water temperature changed deep skin ulcerss it happens mostly at night,3,Fungal diseases Saprolegniasis
today i saw swollen gills swollen gills it happens mostly at night,2,Bacterial gill disease
scales sticking out getting worse parasite attached to skin water temperature changed weak movement one fish,5,Parasitic diseases
problem is cotton wool growth white cotton like growth abnormal swimming brown gill color started recently,3,Fungal diseases Saprolegniasis
cotton wool growth grey white fungus sometimes floating near surface is it serious,3,Fungal diseases Saprolegniasis
for 2 days white patch starting from tail white tail tip fins are clamped water smells bad skin irritation other fish look normal,6,Viral diseases White tail disease
since yesterday taill turning white tail fin becoming pale color looks dull tank has algae dropsy like swelling is it serious?,6,Viral diseases White tail disease
problem is taill end looks dead milky white tail sometimes floating near surface please help...,6,Viral diseases White tail disease
fins are clamped filter was off for few hours,0,Bacterial Red disease
water is slightly dirty sometimes floating near surface i noticed fish opens mouth repeatedly gasping at water surface color looks dull what desease is this dropsy like swelling,2,Bacterial gill disease
in my aquarium fluid filled belly red wounds with swelling feed was changed recently not sure what happened,1,Bacterial diseases - Aeromoniasis
white spots on body for 2 days scratching against rocks weak movement other fish look normal red wounds with swelling...,5,Parasitic diseases
since yesterday tail fin becoming pale white patch starting from tail loss of appitite water temperature changed fungus on body is it serious,6,Viral diseases White tail disease
fluffy fungis near wound breathing faster than normal,3,Fungal diseases Saprolegniasis
fish looks tired water is slightly dirty...,3,Fungal diseases Saprolegniasis
one fish has milky white tail fish looks stressed not sure what happened,6,Viral diseases White tail disease
today i saw clamped fins tank has algae,5,Parasitic diseases
FOR 2 DAYS SKIN IRRITATION OXYGEN LEVEL MAY BE LOW IS IT SERIOUS,5,Parasitic diseases
HIDING IN CORNER RED WOUNDS WITH SWELLING IS IT SERIOUS FINS ARE CLAMPED TANK WAS CLEANED YESTERDAY,1,Bacterial diseases - Aeromoniasis
inflamed red areas color looks dull,0,Bacterial Red disease
today i saw visible lice on fish clamped fins hiding in corner getting worse,5,Parasitic diseases
normal breathing,4,Healthy Fish
fish was moved to new tank flashing behavior my fish has other fish look normal,5,Parasitic diseases
one fish wite spots on body clamped fins please help,5,Parasitic diseases
fish looks stressed gills look damaged fish showing stays near filter outlet,2,Bacterial gill disease
problem is fish swimming normally not sure what happened,4,Healthy Fish
fish showing grey white fungus sometimes floating near surface only one fish affected,3,Fungal diseases Saprolegniasis
for 2 days swollen gills breathing difficulty color looks dull only one fish affected,2,Bacterial gill disease
My fish has fish looks healthy what disease is this,4,Healthy Fish
problem is white mold on fins fungis on body abnormal swimming fish looks stressed water smells bad started recently,3,Fungal diseases Saprolegniasis
since yesterday red patches body bleeding marks skin is it serious,0,Bacterial Red disease
PROBLEM IS RED PATCHES ON BODY BLOODY RED SPOTS STARTED RECENTLY,0,Bacterial Red disease
sometimes floating near surface filter was off for few hours,6,Viral diseases White tail disease
what disease is this pH may be unstable my fish has red sores near fins not eating properly,0,Bacterial Red disease
fish showing bleeding marks on skin small blood marks on scales less aktive than usual after water change started recently,0,Bacterial Red disease
loss of appetite rubbing body on tank wall,5,Parasitic diseases
it happens mostly at night after water change fish looks stressed weak swimming with white tail breathing faster than normal for 2 days flashing behavior,5,Parasitic diseases
for 2 days cotton wool growth mold like growth on tail hiding in corner hiding in corner getting worse...,3,Fungal diseases Saprolegniasis
one fish has fish opens mouth repeatedly pale gill does not react much pH may be unstable started recently?,2,Bacterial gill disease
my fish has tail rot like white area tail tissue damaged does not react much does not react much started recently,6,Viral diseases White tail disease
Fluid filled belly fins clamped not eating properly started recently,1,Bacterial diseases - Aeromoniasis
i noticed fish keeps scratching abnormal swimming it happens mostly at night,5,Parasitic diseases
smooth scales,4,Healthy Fish
brown gill color loss of appetite,2,Bacterial gill disease
what desease is this hiding in corner fish looks stressed bleeding marks on skin i noticed,0,Bacterial Red disease
in my aquarium dropsy like swelling sometimes floating near surface weak movement pH may be unstable getting worse,1,Bacterial diseases - Aeromoniasis
problem is milky white teil does not react much less active than usual after water change brown gill color please help,6,Viral diseases White tail disease
white spots on body what disease is this fish showing tail tissue damaged,5,Parasitic diseases
fish showing gills look damaged gills look damaged fish looks stressed getting worse,2,Bacterial gill disease
my fish has red ulcers on body red streaks around tail color looks dull not eating properly feed was changed recently other fish look normal,0,Bacterial Red disease
problem is fluffy fungus near wound grey white fungus hiding in corner not eating properly mucus on gills please help,3,Fungal diseases Saprolegniasis
for 2 days flashing behavior fish looks tired water smells bad only one fish affected,5,Parasitic diseases
inflamed red areas ammonia may be high getting worse fish showing abnormal swimming...,0,Bacterial Red disease
white mold on fins weak movement bleeding marks on skin getting worse,3,Fungal diseases Saprolegniasis
what disease is this tail end looks dead does not react much less active than usual since yesterday,6,Viral diseases White tail disease
WHAT DISEASE IS THIS MY FISH HAS NEW FISH ADDED RECENTLY TINY SALT LIKE DOTS DOES NOT REACT MUCH,5,Parasitic diseases
since yesterday tail tissue damaged abnormal swimming cotton wool growth getting worse,6,Viral diseases White tail disease
for 2 days tail fin becoming pale white patch starting from tail fish looks stressed please help,6,Viral diseases White tail disease
white spots body abnormal swimming,5,Parasitic diseases
please help visible lice on fish water is cloudy fish looks stressed scratching against rocks since yesterday fins are clamped,5,Parasitic diseases
problem is white patch starting from tail tail turning white abnormal swimming started recently,6,Viral diseases White tail disease
i noticed bright body color sometimes stays still started recently,4,Healthy Fish
Bleeding marks on skin small blood marks on scales my fish has fish looks tired not eating properly not sure what happened water cloudy,0,Bacterial Red disease
my fish has normal breathing only resting after feeding tank has algae started recently,4,Healthy Fish
started recently loss of appetite water is slightly dirty white mold on fins today i saw,3,Fungal diseases Saprolegniasis
today i saw white mold on fins fluffy fungus near wound does not react much fins are clamped ammonia may be high is it serious...,3,Fungal diseases Saprolegniasis
dropsy like swelling not eating properly,1,Bacterial diseases - Aeromoniasis
red ulcerss on body slow swimming,0,Bacterial Red disease
"in my aquarium active, eating well started recently",4,Healthy Fish
stays near filter outlet abnormal swimming,2,Bacterial gill disease
"today i saw inflamed red areas skin looks reddish, damaged slow swimming sometimes floating near surface water is cloudy",0,Bacterial Red disease
other fish look normal weak movement for 2 days tail fin becoming pale loss of apetite,6,Viral diseases White tail disease
fish opens mouth repeatedly stays near filter outlet fish looks stressed not sure what happened,2,Bacterial gill disease
active and eating well,4,Healthy Fish
fish showing deep skin ulcers red wounds with swelling staying at bottom filter was off for few hours clamped fins getting worse?,1,Bacterial diseases - Aeromoniasis
today i saw milky white tail milky white tail less active than usual not eating properly water is slightly dirty is it serious,6,Viral diseases White tail disease
for 2 days tail tissue damaged white discoloration on tail less active than usual abnormal swimming water is cloudy small blood marks on scales what disease is this,6,Viral diseases White tail disease
my fish has clear eyes feed was changed recently started recently?,4,Healthy Fish
fuzzy white patches for 2 days other fish look normal breathing faster than normal,3,Fungal diseases Saprolegniasis
TANK HAS ALGAE DOES NOT REACT MUCH,5,Parasitic diseases
my fish has stays near filter outlet swollen gills less active than usual what disease is this,2,Bacterial gill disease
fish looks tired water is slightly dirty?,5,Parasitic diseases
clamped fins flashing behavior weak movement abnormal swimming pH may be unstable please help...,5,Parasitic diseases
in my aquarium fish looks healthy what disease is this,4,Healthy Fish
tank was cleaned yesterday fish showing inflamed red areas fungal growth on skin fungus on body getting worse,3,Fungal diseases Saprolegniasis
today i saw fish looks bloated and weak please help,1,Bacterial diseases - Aeromoniasis
for 2 days red sores near fins fins are clamped new fish added recently please help,0,Bacterial Red disease
loss of appetite body ulcers,1,Bacterial diseases - Aeromoniasis
no breathing issue since yesterday fish swimming normally is it serious,4,Healthy Fish
Loss of appetite tank was cleaned yesterday,0,Bacterial Red disease
Skin irritation tiny salt like dots abnormal swimming is it serious,5,Parasitic diseases
Fish keeps scratching getting worse since yesterday loss of appetite ph may be unstable,5,Parasitic diseases
since yesterday healthy fins not sure what happened?,4,Healthy Fish
tail rot like white area slow swimming,6,Viral diseases White tail disease
one fish has smooth scales swims fine most of the time new fish added recently other fish look normal,4,Healthy Fish
for 2 days swollen gills water is slightly dirty popeye it serious,2,Bacterial gill disease
i noticed fluid filled belly water is cloudy what disease is this?,1,Bacterial diseases - Aeromoniasis
abnormal swimming dropsy like swelling,1,Bacterial diseases - Aeromoniasis
it happens mostly at night red wounds on belly bleeding marks on skin today i saw breathing faster than normal water temperature changed swollen gills,0,Bacterial Red disease
abnormal swimming body ulcers not sure what happened in my aquarium water temperature changed deep skin ulcers,1,Bacterial diseases - Aeromoniasis
does not react much water temperature changed?,5,Parasitic diseases
today i saw red sores near fins slow swimming water smells bad please help,0,Bacterial Red disease
rapid gill movement fish looks stressed slow swimming for 2 days other fish look normal fluid filled belly,1,Bacterial diseases - Aeromoniasis
what disease is this in my aquarium active and eating well,4,Healthy Fish
i noticed smooth scales swims fine most of the time?,4,Healthy Fish
does not react much oxygen level may be low,2,Bacterial gill disease
one fish has swollen belly red wounds with swelling does not react much water temperature changed only one fish affected,1,Bacterial diseases - Aeromoniasis
white spots on body flashing behavior weak movement is it serious,5,Parasitic diseases
skin looks reddish and damaged not eating properly,0,Bacterial Red disease
tail tissue damaged red streaks around tail slow swimming whit discoloration on tail my fish has only one fish affected,6,Viral diseases White tail disease
only one fish affected visible lice on fish skin irritation for 2 days weak movement,5,Parasitic diseases
white mold on fins gasping at water surface sometimes floating near serface since yesterday breathin difficulty...,2,Bacterial gill disease
abnormal swimming tail rot like white area...,6,Viral diseases White tail disease
since yesterday gils look damaged color looks dull sometimes floating near surfac new fish added recently only one fish affected...,2,Bacterial gill disease
only one fish affected inflamed red areas breathing faster than normal skin irritation my fish has,5,Parasitic diseases
breathing difficulty sometimes floating near surfac,2,Bacterial gill disease
please help breathing faster than normal fuzzy white patches whit mold fins i noticed,3,Fungal diseases Saprolegniasis
MY FISH HAS SWOLLEN BELLY WATER TEMPERATURE CHANGED GILS LOOK DAMAGED PALE GILLS OTHER FISH LOOK NORMAL,2,Bacterial gill disease
i noticed taill fin becoming pale water temperature changed does not react much not sure what happened weak movement...,6,Viral diseases White tail disease
fish looks stressed staying at bottom fish showing other fish look normal gasping at water surface ammonia may be high brown gill color,2,Bacterial gill disease
since yesterday rapid gill movement mucus on gills breathing faster than normal ammonia may be high other fish look normal,2,Bacterial gill disease
breathing difficulty color looks dull,2,Bacterial gill disease
white discoloration on tail i noticed it happens mostly at night tiny salt like dots fish looks tired fish was moved to new tank loss of appetite,6,Viral diseases White tail disease
WEAK SWIMMING WITH WHITE TAIL PROBLEM IS HIDING IN CORNER PLEASE HELP,6,Viral diseases White tail disease
since yesterday visible lice on fish less active than usual feed was changed recently started recently,5,Parasitic diseases
since yesterday healthy fins what disease is this?,4,Healthy Fish
in my aquarium red streaks around teil bleeding marks on skin color looks dull not eating properly filter was off for few hours brown gill color other fish look normal,0,Bacterial Red disease
staying at bottom today i saw dropsy like swelling not sure what happened?,1,Bacterial diseases - Aeromoniasis
I noticed scales sticking out hiding in corner water is cloudy gasping at water surface please help,1,Bacterial diseases - Aeromoniasis
white hairy patch sometimes floating near surfac loss of appetite oxygen level may be low it happens mostly at night,3,Fungal diseases Saprolegniasis
fungal growth on skin not eating properly,3,Fungal diseases Saprolegniasis
Smooth scales,4,Healthy Fish
one fish has white discoloration on tail tail end looks dead what disese is this...,6,Viral diseases White tail disease
please help color looks dull for 2 days popeye fungal growth on skin,3,Fungal diseases Saprolegniasis
today i saw red patches on body red wounds on belly slow swimming what disease is this,0,Bacterial Red disease
gills look damaged other fish look normal bloated abdomen scales sticking out less active than usual i noticed,1,Bacterial diseases - Aeromoniasis
fluid filled belly staying at bottom other fish look normal,1,Bacterial diseases - Aeromoniasis
one fish has fish looks bloated and weak fish looks stressed pH may be unstable started recently,1,Bacterial diseases - Aeromoniasis
MY FISH HAS BLOATED ABDOMEN DOES NOT REACT MUCH GETTING WORSE,1,Bacterial diseases - Aeromoniasis
i noticed fish keeps scratching skin irritation staying at bottom loss of appetite new fish added recently only one fish affected,5,Parasitic diseases
my fish has fish opens mouth repeatedly fish looks stressed red wounds with swelling please help,2,Bacterial gill disease
after water change swollen gills stays near filter outlet getting worse abnormal swimming in my aquarium sometimes floating near surface,2,Bacterial gill disease
red wounds on belly breathing faster than normal?,0,Bacterial Red disease
white discoloration on tail tail end looks dead fish looks stressed other fish look normal,6,Viral diseases White tail disease
since yesterday fungus on body less active than usual tank was cleaned yesterday rapid gill movement it happens mostly at night,3,Fungal diseases Saprolegniasis
white cotton like growth weak movement breathing faster than normal pH may be unstable please help,3,Fungal diseases Saprolegniasis
no red spots fish showing is it serious fish looks healthy,4,Healthy Fish
fish looks tired water is slightly dirty,5,Parasitic diseases
in my aquarium white cotton like growth white cotton like growth sometimes floating near surface not eating properly other fish look normal,3,Fungal diseases Saprolegniasis
problem is breathing difficulty brown gill color hiding in corner what disease is this...,2,Bacterial gill disease
bloated abdomen my fish has only one fish affected color looks dull small blood marks on scales red wounds swelling,1,Bacterial diseases - Aeromoniasis
since yesterday dropsy swelling milky white tail other fish look normal...,1,Bacterial diseases - Aeromoniasis
NOT EATING PROPERLY SMALL BLOOD MARKS ON SCALES I NOTICED SMALL BLOOD MARKS ON SCALES IS IT SERIOUS...,0,Bacterial Red disease
FOR 2 DAYS BRIGHT BODY COLOR EATS A LITTLE SLOW BUT NORMAL NOT SURE WHAT HAPPENED,4,Healthy Fish
less active than usual swollen gils,2,Bacterial gill disease
Fish showing tail turning white tail tissue damaged fish looks tired hiding in corner what disease is this,6,Viral diseases White tail disease
problem is tail rot like white area teil end looks dead does not react much less active than usual,6,Viral diseases White tail disease
tail fin becoming pale loss of appetite?,6,Viral diseases White tail disease
hiding in corner abnormal swimming body ulcers ammonia may be high my fish has scales sticking out,1,Bacterial diseases - Aeromoniasis
fish showing red streaks around tail inflamed red areas color looks dull fish looks stressed not sure what happened,0,Bacterial Red disease
Visible lice on fish since yesterday getting worse,5,Parasitic diseases
slow swimming filter was off for few hours,0,Bacterial Red disease
problem is fungus on body grey white fungus abnormal swimming feed was changed recently only one fish affected?,3,Fungal diseases Saprolegniasis
i noticed swollen belly popeye not eating properly sometimes floating near serface filter was off for few hours it happens mostly at night,1,Bacterial diseases - Aeromoniasis
bleeding marks on skin since yesterday skin looks reddish damaged other fish look normal,0,Bacterial Red disease
Fish showing white mold on fins fungal growth on skin weak movement ph may be unstable not sure what happened,3,Fungal diseases Saprolegniasis
problem is swollen gill stays near filter outlet fish looks tired it happens mostly at night,2,Bacterial gill disease
my fish has clear eyes is it serious?,4,Healthy Fish
tank was cleaned yesterday hiding in corner,5,Parasitic diseases
for 2 days white discoloration on tail white tail tip fish looks tired does not react much new fish added recently not sure what happened,6,Viral diseases White tail disease
water smells bad abnormal swimming...,5,Parasitic diseases
problem is fish keeps scratching breathing faster than normal water temperature changed please help,5,Parasitic diseases
one fish has white cotton like growth does not react much staying at bottom water smells bad it happens mostly at night,3,Fungal diseases Saprolegniasis
my fish has scales sticking out scales sticking out fish looks stressed weak movement it happens mostly at night?,1,Bacterial diseases - Aeromoniasis
FISH SHOWING BREATHING DIFFICULTY IS IT SERIOUS,2,Bacterial gill disease
in my aquarium small blood marks on scales fish looks tired fish looks stressed water temperature changed white spots on body not sure what happened,0,Bacterial Red disease
skin irritation scratching against rocks sometimes floating near surface what disease is this...,5,Parasitic diseases
red patches on body weak movement,0,Bacterial Red disease
today i saw fish opens mouth repeatedly hiding in corner fish was moved to new tank whit patch starting from tail it happens mostly at night,2,Bacterial gill disease
skin looks reddish and damaged weak movement,0,Bacterial Red disease
Flashing behavior slow swimming,5,Parasitic diseases
color looks dull filter was off for few hours,3,Fungal diseases Saprolegniasis
gills look damaged water is cloudy sometimes floating near surface hiding in corner fish opens mouth repeatedly it happens mostly at night i noticed,2,Bacterial gill disease
breathing faster than normal other fish look normal breathing difficulty swollen gills i noticed...,2,Bacterial gill disease
white mold on fins slow swimming...,3,Fungal diseases Saprolegniasis
tail fin becoming pale breathing faster than normal,6,Viral diseases White tail disease
fins are clamped new fish added recently,5,Parasitic diseases
IN MY AQUARIUM WHITE COTTN LIKE GROWTH FISH LOOKS TIRED AFTER WATER CHANGE STARTED RECENTLY,3,Fungal diseases Saprolegniasis
Problem is mucus on gills breathing faster than normal fins are clamped other fish look normal,2,Bacterial gill disease
since yesterday rapid gill movement fins are clamped not eating properly is it serious,2,Bacterial gill disease
active eating well...,4,Healthy Fish
For 2 days fish swimming normally only resting after feeding what disease is this,4,Healthy Fish
Bright body color,4,Healthy Fish
Mucus on gills weak movement,2,Bacterial gill disease
one fish fungus on body stays near filter outlet what disease is this?,3,Fungal diseases Saprolegniasis
tail end looks dead fish looks stressed,6,Viral diseases White tail disease
MY FISH HAS FISH OPENS MOUTH REPEATEDLY RAPID GILL MOVEMENT LOSS OF APPETITE PLEASE HELP...?,2,Bacterial gill disease
One fish has deep skin ulcers scales sticking out staying at bottom color looks dull what disease is this,1,Bacterial diseases - Aeromoniasis
fish opens mouth repeatedly fish looks tired,2,Bacterial gill disease
PARASITES ATTACHED TO SKIN RUBBING BODY ON TANK WALL NOT SURE WHAT HAPPENED SOMETIMES FLOATING SURFACE FOR 2 DAYS,5,Parasitic diseases
tail turning white sometimes floating near surface,6,Viral diseases White tail disease
normal breathing please help one fish has...,4,Healthy Fish
ONE FISH NO VISIBLE WOUNDS IT HAPPENS MOSTLY AT NIGHT,4,Healthy Fish
less active than usual new fish added recently,1,Bacterial diseases - Aeromoniasis
in my aquarium rubbing body on tank wall does not react much water smells bad fungal growth on skin started recently,5,Parasitic diseases
problem is tiny salt like dots loss of apetite started recently,5,Parasitic diseases
fish swimming normally no red spots problem is started recently...,4,Healthy Fish
"fish looks bloated, weak fish looks tired",1,Bacterial diseases - Aeromoniasis
problem is no visible wounds no red spots feed was changed recently,4,Healthy Fish
other fish look normal problem red streaks around tail...,0,Bacterial Red disease
fish looks bloated weak popeye hiding in corner started recently since yesterday,1,Bacterial diseases - Aeromoniasis
today i saw brown gill color pale gils it happens mostly at night,2,Bacterial gill disease
one fish has tail rot like white area not eating properly abnormal swimming feed was changed recently,6,Viral diseases White tail disease
One fish has fluid filled belly fish looks stressed tank was cleaned yesterday what disease is this,1,Bacterial diseases - Aeromoniasis
since yesterday white discoloration on tail slow swimming what disease is this,6,Viral diseases White tail disease
white tail tip not eating properly,6,Viral diseases White tail disease
i noticed fish looks helthy getting worse,4,Healthy Fish
since yesterday bright body color started recently,4,Healthy Fish
ammonia may be high not eating properly...,2,Bacterial gill disease
i noticed deep skin ulcers does not react much wite discoloration on teil please help,1,Bacterial diseases - Aeromoniasis
since yesterday mold like growth on tail not eating properly loss of appetite water smells bad...,3,Fungal diseases Saprolegniasis
dropsy swelling less active than usual,1,Bacterial diseases - Aeromoniasis
fish looks healthy,4,Healthy Fish
fungal growth on skin breathing faster than normal red wounds with swelling i noticed staying at bottom water temperature changed,1,Bacterial diseases - Aeromoniasis
not sure what happened skin irritation water is slightly dirty my fish has skin irritation staying at bottom,5,Parasitic diseases
mucus on gills fish looks tired not sure what happened,2,Bacterial gill disease
my fish has healthy fins no red spots not sure what happened,4,Healthy Fish
in my aquarium bright body color sometimes stays still what disease is this,4,Healthy Fish
for 2 days fish keeps scratching flashing behavior color looks dull it happens mostly at night,5,Parasitic diseases
my fish has other fish look normal tiny salt like dots weak movement,5,Parasitic diseases
White patch starting from tail less active than usual...,6,Viral diseases White tail disease
less active than usual oxygen level may be low,5,Parasitic diseases
BODY ULCERS MY FISH HAS STAYING AT BOTTOM AMMONIA MAY BE HIGH FISH LOOKS BLOATED AND WEAK,1,Bacterial diseases - Aeromoniasis
bloody red spots bleeding marks on skin in my aquarium fish looks stressed...,0,Bacterial Red disease
pale gils breathing faster than normal,2,Bacterial gill disease
in my aquarium deep skin ulcers does not react much sometimes floating near surface not sure what happened?,1,Bacterial diseases - Aeromoniasis
in my aquarium wite spots on body flashing behavior sometimes floating near surfac pale gills,5,Parasitic diseases
i noticed smooth scales not sure what happened no red spots...,4,Healthy Fish
swollen belly hiding in corner?,1,Bacterial diseases - Aeromoniasis
in my aquarium tail rot like white area tail end looks dead weak movement fins are clamped feed was changed recently what disease this,6,Viral diseases White tail disease
i noticed healthy fins started recently,4,Healthy Fish
red wounds on belly fins are clamped,0,Bacterial Red disease
i noticed inflamed red areas staying at bottom only one fish affected...,0,Bacterial Red disease
water temperature changed abnormal swimming,6,Viral diseases White tail disease
since yesterday fish looks healthy what disease is this,4,Healthy Fish
my fish has red patches on body ammonia may be high only one fish affected,0,Bacterial Red disease
white patch starting from tail color looks dull...,6,Viral diseases White tail disease
today i saw mold like growth on tail fungal growth on skin sometimes floating near surface less active than usual water smells bad it happens mostly at night,3,Fungal diseases Saprolegniasis
feed was changed recently fins are clamped?,5,Parasitic diseases
fish looks stressed tail rot like white area,6,Viral diseases White tail disease
since yesterday red wounds on belly fins are clamped other fish look normal,0,Bacterial Red disease
pale gills staying at bottom,2,Bacterial gill disease
since yesterday white spots body fish looks tired less active than usual red wounds with swelling what disease is this,5,Parasitic diseases
color looks dull tank has algae,3,Fungal diseases Saprolegniasis
"small blood marks on scales sometimes floating near surface my fish has slow swimming skin looks reddish, damaged tank was cleaned yesterday what disease this",0,Bacterial Red disease
today i saw getting worse loss of appetite abnormal swimming cotton wool growth...,3,Fungal diseases Saprolegniasis
only one fish affected since yesterday stays near filter outlet,2,Bacterial gill disease
white mold on fins does not react much my fish has getting worse less active than usual,3,Fungal diseases Saprolegniasis
less active than usual body ulcers,1,Bacterial diseases - Aeromoniasis
white discoloration on tail tail tissue damaged what disease is this in my aquarium weak movement,6,Viral diseases White tail disease
fluffy fungus near wound breathing faster than normal,3,Fungal diseases Saprolegniasis
fungus on body slow swimming,3,Fungal diseases Saprolegniasis
hiding in corner it happens mostly at night new fish added recently rapid gill movement brown gill color one fish has,2,Bacterial gill disease
less aktive than usual ammonia may be high?,5,Parasitic diseases
red wounds on belly hiding in corner deep skin ulcers what disease is this,0,Bacterial Red disease
hiding in corner tail turning white,6,Viral diseases White tail disease
normal breathing,4,Healthy Fish
since yesterday tail end looks dead water is cloudy red streaks around tail what disease is this,6,Viral diseases White tail disease
cotton wool growth less active than usual,3,Fungal diseases Saprolegniasis
since yesterday white patch starting from tail small blood marks on scales only one fish affected?,6,Viral diseases White tail disease
since yesterday scales sticking out not eating properly is it serious...?,1,Bacterial diseases - Aeromoniasis
one fish has pale gils fish looks tired abnormal swimming water is cloudy fish keeps scratching,2,Bacterial gill disease
in my aquarium bloated abdomen is it serious,1,Bacterial diseases - Aeromoniasis
healthy fins no fungus what diesase is this?,4,Healthy Fish
fuzzy white patches abnormal swimming,3,Fungal diseases Saprolegniasis
healthy fins fish was moved to new tank not sure what happened,4,Healthy Fish
problem is fish swimming normally no red spots it happens mostly at night,4,Healthy Fish
fluffy fungus near wound fins are clamped,3,Fungal diseases Saprolegniasis
fish showing tiny salt like dots clamped fins hiding in corner fish looks tired getting worse?,5,Parasitic diseases
scales sticking out fish looks tired?,1,Bacterial diseases - Aeromoniasis
clear eyes only one fish affected,4,Healthy Fish
one fish scratching against rocks not eating properly new fish added recently started recently,5,Parasitic diseases
in my aquarium tail fin becoming pale please help hiding in corner,6,Viral diseases White tail disease
staying at bottom body ulcers,1,Bacterial diseases - Aeromoniasis
my fish has rubbing body on tank wall parasites attached to skin abnormal swimming not sure what happened?,5,Parasitic diseases
one fish has visible lice on fish abnormal swimming feed was changed recently started recently?,5,Parasitic diseases
RED WOUNDS ON BELLY RED STREAKS AROUND TAIL FISH LOOKS TIRED IT HAPPENS MOSTLY AT NIGHT ONE FISH HAS,0,Bacterial Red disease
skin irritation scratching against rocks not eating properly is it serious,5,Parasitic diseases
brown gill color slow swimming hiding in corner swollen gills for 2 days,2,Bacterial gill disease
fish opens mouth repeatedly rapid gill movement hiding in corner scratching against rocks please help,2,Bacterial gill disease
today i saw water temperature changed clamped fins staying at bottom only one fish affected,5,Parasitic diseases
hiding in corner ammonia may be high,1,Bacterial diseases - Aeromoniasis
weak movement after water change...,5,Parasitic diseases
FOR 2 DAYS DEEP SKIN ULCERS RED WOUNDS WITH SWELLING FINS ARE CLAMPED PLEASE HELP,1,Bacterial diseases - Aeromoniasis
my fish has red streaks around taill red ulcers on body does not react much fish looks stressed water is cloudy what disease is this,0,Bacterial Red disease
RED SORES NEAR FINS RED WOUNDS ON BELLY LOSS OF APPETITE IT SERIOUS DOES NOT REACT MUCH FOR 2 DAYS,0,Bacterial Red disease
tiny salt like dots less active than usual,5,Parasitic diseases
i noticed gills look damaged less active than usual red sores near fins is it serious,2,Bacterial gill disease
one fish has parasites attached to skin scratching against rocks weak movement fish was moved to new tank small blood marks on scales not sure what happened,5,Parasitic diseases
smooth scales,4,Healthy Fish
wite discoloration on tail fish looks stressed...,6,Viral diseases White tail disease
since yesterday red sores near fins getting worse,0,Bacterial Red disease
normal appetite,4,Healthy Fish
weak swimming white tail other fish look normal sometimes floating near surface one fish has,6,Viral diseases White tail disease
white cotton like growth color looks dull scales sticking out please help,3,Fungal diseases Saprolegniasis
fish looks bloated and weak dropsy like swelling fish was moved to new tank what disease is this,1,Bacterial diseases - Aeromoniasis
only one fish affected since yesterday bright body color...,4,Healthy Fish
today i saw rubbing body on tank wall fish keeps scratching sometimes floating near surface getting worse,5,Parasitic diseases
ONE FISH HAS DOES NOT REACT MUCH TANK HAS ALGAE RUBBING BODY ON TANK WALL ONLY ONE FISH AFFECTED,5,Parasitic diseases
since yesterday fish opens mouth repeatedly loss of appetite tank has algae started recently,2,Bacterial gill disease
STAYING AT BOTTOM NEW FISH ADDED RECENTLY,0,Bacterial Red disease
bright body color fish showing ammonia may be high no breathing issue started recently,4,Healthy Fish
for 2 days red patches on body bloody red spots hiding in corner started recently...,0,Bacterial Red disease
fish looks bloated and weak fish looks tired...,1,Bacterial diseases - Aeromoniasis
since yesterday fish looks bloated and weak dropsy like swelling fish looks stressed water is slightly dirty fuzzy white patches please help,1,Bacterial diseases - Aeromoniasis
breathing faster than normal water is cloudy,2,Bacterial gill disease
milky white tail water smells bad weak swimming with white tail since yesterday what diesase this does not react much,6,Viral diseases White tail disease
I noticed milky white tail tail end looks dead color looks dull ammonia may be high red sores near fins started recently,6,Viral diseases White tail disease
inflamed red areas less active than usual staying at bottom fish showing clamped fins not sure what happened clamped fins,5,Parasitic diseases
one fish has swims fine most of the time normal appetite started recently,4,Healthy Fish
tail turning white hiding in corner only one fish affected weak movement tail tissue damaged,6,Viral diseases White tail disease
brown gill color not eating properly weak movement water temperature changed started recently?,2,Bacterial gill disease
it happens mostly at night one fish has only resting after feeding bright body color,4,Healthy Fish
normal appetite,4,Healthy Fish
I noticed tail turning white tail fin becoming pale started recently fish looks tired...,6,Viral diseases White tail disease
Only one fish affected does not react much filter was off for few hours breathing faster than normal one fish has mucus on gills,2,Bacterial gill disease
scales sticking out bloated abdomen tank was cleaned yesterday it happens mostly at night?,1,Bacterial diseases - Aeromoniasis
today i saw visible lice on fish staying at bottom abnormal swimming ammonia may be high other fish look normal,5,Parasitic diseases
problem is cotton wool growth grey white fungas not eating properly loss of apetite tank has algae other fish look normal,3,Fungal diseases Saprolegniasis
loss of appetite oxygen level may be low,1,Bacterial diseases - Aeromoniasis
color looks dull one fish has red wounds belly not eating properly bloody red spots getting worse,0,Bacterial Red disease
fungal growth on skin cotton wool growth weak movement fins are clamped,3,Fungal diseases Saprolegniasis
for 2 days stays near filter outlet brown gill color not eating properly oxygen level may be low rubbing body on tank wall what disease is this,2,Bacterial gill disease
